bank_name_code,bank_name_rus,bank_name,bin,range_low,range_high
otkritie,,,220000,2200000000000000000,2200009999999999999
gazprom,Банк ГПБ (АО),,220001,2200010000000000000,2200019999999999999
gazprom,Банк ГПБ (АО),,22000101,2200010100000000000,2200010199999999999
gazprom,Газпромбанк,Gazprombank,22000102,2200010200000000000,2200010299999999999
gazprom,Банк ГПБ (АО),,22000103,2200010300000000000,2200010399999999999
gazprom,Банк ГПБ (АО),,22000104,2200010400000000000,2200010499999999999
gazprom,Банк ГПБ (АО),,22000105,2200010500000000000,2200010599999999999
gazprom,Банк ГПБ (АО),,22000106,2200010600000000000,2200010699999999999
rncb,РНКБ Банк (ПАО),,220002,2200020000000000000,2200029999999999999
rncb,РНКБ,RNCB,22000201,2200020100000000000,2200020109999999999
rncb,РНКБ Банк (ПАО),,22000201,2200020100000000000,2200020199999999999
rncb,РНКБ,RNCB,220002,2200020200000000000,2200020204999999999
rncb,РНКБ Банк (ПАО),,22000202,2200020200000000000,2200020299999999999
rncb,РНКБ,RNCB,22000202,2200020206000000000,2200020249999999999
rncb,РНКБ,RNCB,2200020300,2200020300000000000,2200020300699999999
rncb,РНКБ Банк (ПАО),,22000203,2200020300000000000,2200020399999999999
rncb,РНКБ Банк (ПАО),,22000204,2200020400000000000,2200020499999999999
rncb,РНКБ,RNCB,220002,2200020400000000000,2200020400499999999
rncb,РНКБ,RNCB,220002,2200020400500000000,2200020400999999999
rncb,РНКБ,RNCB,220002,2200020500000000000,2200020500499999999
rncb,РНКБ Банк (ПАО),,22000205,2200020500000000000,2200020599999999999
rncb,РНКБ Банк (ПАО),,22000206,2200020600000000000,2200020699999999999
rncb,РНКБ,RNCB,220002,2200020600000000000,2200020601999999999
rncb,РНКБ Банк (ПАО),,22000207,2200020700000000000,2200020799999999999
rncb,РНКБ Банк (ПАО),,22000208,2200020800000000000,2200020899999999999
rncb,РНКБ,RNCB,220002,2200020800000000000,2200020809999999999
rncb,РНКБ Банк (ПАО),,22000209,2200020900000000000,2200020999999999999
rncb,РНКБ,RNCB,220002090,2200020900000000000,2200020909999999999
rncb,РНКБ,RNCB,22000209,2200020910000000000,2200020927999999999
rncb,РНКБ Банк (ПАО),,22000210,2200021000000000000,2200021099999999999
rncb,РНКБ Банк (ПАО),,22000211,2200021100000000000,2200021199999999999
rncb,РНКБ,RNCB,220002,2200021100000000000,2200021104999999999
rncb,РНКБ Банк (ПАО),,22000212,2200021200000000000,2200021299999999999
rncb,РНКБ,RNCB,220002,2200021200000000000,2200021204999999999
rncb,РНКБ Банк (ПАО),,22000213,2200021300000000000,2200021399999999999
promsvyazbank,"ПАО ""Промсвязьбанк""",promsvyazbank,220003,2200030000000000000,2200039999999999999
promsvyazbank,"ПАО ""Промсвязьбанк""",promsvyazbank,22000301,2200030100000000000,2200030199999999999
promsvyazbank,Промсвязьбанк,Promsvyazbank,220003,2200030130000000000,2200030179999999999
promsvyazbank,"ПАО ""Промсвязьбанк""",promsvyazbank,22000302,2200030200000000000,2200030299999999999
promsvyazbank,Промсвязьбанк,Promsvyazbank,220003,2200030210000000000,2200030239999999999
promsvyazbank,"ПАО ""Промсвязьбанк""",promsvyazbank,22000303,2200030300000000000,2200030399999999999
promsvyazbank,Промсвязьбанк,Promsvyazbank,220003,2200030310000000000,2200030339999999999
promsvyazbank,Промсвязьбанк,Promsvyazbank,220003,2200030350000000000,2200030359999999999
promsvyazbank,"ПАО ""Промсвязьбанк""",,22000304,2200030400000000000,2200030499999999999
promsvyazbank,Промсвязьбанк,Promsvyazbank,220003,2200030401000000000,2200030405999999999
promsvyazbank,"ПАО ""Промсвязьбанк""",,22000305,2200030500000000000,2200030599999999999
promsvyazbank,Промсвязьбанк,Promsvyazbank,220003,2200030501000000000,2200030519999999999
promsvyazbank,"ПАО ""Промсвязьбанк""",,22000306,2200030600000000000,2200030699999999999
promsvyazbank,Промсвязьбанк,Promsvyazbank,220003,2200030601000000000,2200030639999999999
