EFFECTIVE_DATE,MEMBER_ID,LO_RANGE,HI_RANGE,BANK_NAME,PRODUCT_CODE,COUNTRY_CODE,BILCURRENCY_CODE
20230317,72492023501,2202350100001000000,2202350100001999999,Russian Universal Bank,CPP,643,643
20230317,72492023501,2202350100002000000,2202350100002999999,Russian Universal Bank,PPB,643,643
20230317,72492023501,2202350100003000000,2202350100003999999,Russian Universal Bank,CPP,643,643
20230317,72492023501,2202350100004000000,2202350100004999999,Russian Universal Bank,CPP,643,643
20230317,72492023501,2202350100005000000,2202350100005999999,Russian Universal Bank,CPP,643,643
20230317,50000000010,2204280100000000000,2204280199999999999,Bereke Bank,MSA,398,643
20230317,50000000010,2204280200000000000,2204280299999999999,Bereke Bank,TKN,398,643
20230317,50000000010,2204280300000000000,2204280399999999999,Bereke Bank,CCD,398,643
20230317,50000000010,2204280400000000000,2204280499999999999,Bereke Bank,PPB,398,643
20230317,75064390101,2204390100000000000,2204390129999999999,Gazneftbank,CDP,643,643
20230317,75064390101,2204390200000000000,2204390209999999999,Gazneftbank,PRD,643,643
20230317,75064390101,2204390210000000000,2204390219999999999,Gazneftbank,PRD,643,643
20230317,75064390101,2204390220000000000,2204390229999999999,Gazneftbank,PRD,643,643
20230317,89012000002,9777000000000000000,9777009999999999999,MRB Bank,CCD,896,643
20230317,89004000021,8600380000000000000,8600389999999999999,"PJSC ""Turkiston""",MCD,860,860
20230317,89004000022,8600560000000000000,8600569999999999999,"PJSC ""Hi-Tech Bank""",MCD,860,860
