bank_code,type_system,bank_id,bic
yoomoney,nspk,74252041201,
gazprom,nspk,70010010101,
promsvyazbank,nspk,70220030101,
rsb,nspk,70230040101,
genbank,nspk,70060070103,
bank_rossiya,nspk,70080080101,
chelindbank,nspk,70140090101,
levoberezhny,nspk,70210110101,
alfa,nspk,70150150101,
alfa,nspk,70150150105,
alfa,nspk,70150150108,
center_invest,nspk,70070170101,
uralsib,nspk,70190190101,
alexandrovskiy,nspk,70220210103,
avangard,nspk,70270230101,
vtb,nspk,70290240101,
vtb,nspk,70290240103,
vtb,nspk,70340240123,
sdm,nspk,70240250101,
sovcombank,nspk,70930740101,
mts_bank,nspk,70310280101,
mts_bank,nspk,70310280103,
raiffeisen,nspk,70330300101,
siab,nspk,70320320103,
bank_zenit,nspk,70360370103,
rosselkhozbank,nspk,70500380101,
rosbank,nspk,70540390104,
bank_dom_rf,nspk,70610420101,
mosoblbank,nspk,70600470101,
homecredit,nspk,70680500102,
interprogressbank,nspk,70740520203,
ak_bars,nspk,70690530101,
dalnevostochnyj_bank,nspk,70750540101,
almazergienbank,nspk,70640550101,
credit_ural_bank,nspk,70420560101,
transkapital,nspk,70790590104,
asian_pacific_bank,nspk,70780600101,
bank_zenit,nspk,70510620101,
bank_kazani,nspk,70770640102,
vtb,nspk,70520650101,
primsotsbank,nspk,70470660101,
primorye,nspk,70440670103,
primorye,nspk,70440670101,
khlynov,nspk,70810690101,
tinkoff,nspk,70802007001,
qiwi_ru,nspk,70880730101,
post_bank,nspk,70910770101,
eniseisk_united_bank,nspk,71000780101,
ao_guta_bank,nspk,70952007901,
kamchatprofitbank,nspk,71010820101,
stavropolpromstroy,nspk,70970830101,
orenburg,nspk,71050870101,
bank_venets,nspk,70900890101,
databank,nspk,70920910101,
natsinvestprombank,nspk,71162009201,
tatsocbank,nspk,71140930104,
bank_ekaterinburg,nspk,71070960101,
khakas_municipal_bank,nspk,71060970101,
fora_bank,nspk,71130980104,
agroros,nspk,70960990103,
mti_bank,nspk,71202010301,
unistream,nspk,71081040104,
bank_avers,nspk,71092010601,
vologzhanin,nspk,71301080102,
bank_zenit,nspk,71271100101,
corporate_finance_bank_llc,nspk,71382011102,
kuznetskbusinessbank,nspk,71181120101,
bank_zenit,nspk,71421130101,
citibank,nspk,71392011602,
avtogradbank,nspk,71371170101,
snezhinskiy,nspk,71191190101,
national_standard_bank,nspk,71412012001,
saratov,nspk,71441230102,
energotransbank,nspk,71431250101,
pao_rosdorbank,nspk,71352012701,
llc_bank_round,nspk,71472012801,
zemsky_bank,nspk,71452012901,
bank_chbrr,nspk,71491300101,
norvik_bank,nspk,71021330102,
bbr_bank,nspk,71462013401,
transstroibank,nspk,71342013602,
gazenergobank,nspk,71251400101,
garant_invest,nspk,70701420102,
siberian_social_bank,nspk,71551440101,
yug_investbank,nspk,71591460102,
expobank,nspk,72012024101,
iturup,nspk,71481480102,
agropromcredit,nspk,71561490103,
nk_bank,nspk,71722015201,
bank_elita,nspk,71531550101,
novikombank,nspk,71711560206,
kamcombank,nspk,71692015701,
severny_narodny_bank,nspk,71761590101,
bank_yoshkar_ola,nspk,71601610102,
