bank_code,bank_bin_en,bank_nspk_en,meber_id,bic
gazprom,Gazprombank,Gazprombank,70010010101,
promsvyazbank,Promsvyazbank,Promsvyazbank,70220030101,
rsb,Russian Standard Bank,Russian Standard,70230040101,
genbank,Genbank,Genbank,70060070103,
bank_rossiya,Bank Rossiya,BANK ROSSIYA,70080080101,
chelindbank,Chelindbank,Chelindbank,70140090101,
levoberezhny,Levoberezhny Bank,Levoberezhny,70210110101,
alfa,Alfa-Bank,Alfa-Bank,70150150101,
alfa,Alfa-Bank,Alfa-Bank,70150150105,
alfa,Alfa-Bank,Alfa-Bank,70150150108,
center_invest,Center-Invest Bank,Center-invest Bank,70070170101,
uralsib,Bank Uralsib,Uralsib,70190190101,
alexandrovskiy,Bank Alexandrovskiy,ALEXANDROVSKIY,70220210103,
avangard,Bank Avangard,AVANGARD,70270230101,
vtb,Vtb Bank,VTB,70290240101,
vtb,Vtb Bank,VTB,70290240103,
vtb,Vtb Bank,VTB,70340240123,
sdm,Sdm-Bank,SDM-Bank,70240250101,
sovcombank,Sovcombank,Sovcombank,70930740101,
mts_bank,Mts-Bank,MTS-Bank,70310280101,
mts_bank,Mts-Bank,MTS-Bank,70310280103,
raiffeisen,Raiffeisenbank,Raiffeisenbank,70330300101,
siab,Bank Siab,SIAB,70320320103,
bank_zenit,Bank Zenit,Bank Zenit,70360370103,
rosselkhozbank,Rosselkhozbank,Rosselkhozbank,70500380101,
rosbank,Rosbank,ROSBANK,70540390104,
bank_dom_rf,Bank Dom Rf,Bank DOM.RF,70610420101,
mosoblbank,Mosoblbank,MOSOBLBANK,70600470101,
homecredit,Home Credit And Finance Bank,Home Credit Bank,70680500102,
interprogressbank,Interprogressbank,Interprogressbank,70740520203,
ak_bars,Ak Bars Bank,AK BARS,70690530101,
dalnevostochnyj_bank,Far Eastern Bank,Far Eastern Bank,70750540101,
almazergienbank,Almazergienbank,Almazergienbank,70640550101,
credit_ural_bank,Credit Ural Bank,Credit Ural Bank,70420560101,
transkapital,Transkapitalbank,TRANSKAPITALBANK,70790590104,
asian_pacific_bank,Asian-Pacific Bank,Asian-Pacific Bank,70780600101,
bank_zenit,Bank Zenit,Bank Zenit,70510620101,
bank_kazani,Bank Kazani,Bank Kazani,70770640102,
vtb,Vtb Bank,VTB,70520650101,
primsotsbank,Primsotsbank,Primsotsbank,70470660101,
primorye,Primorye Bank,Primorye,70440670103,
primorye,Primorye Bank,Primorye,70440670101,
khlynov,Bank Khlynov,Khlynov,70810690101,
tinkoff,Tinkoff Bank,Tinkoff Bank,70802007001,
