MC_name,Bin_code,MC_low,MC_high,Bin_low,Bin_high
LLC bank Round,llc_bank_round,2227770000000000000,2227779999999999999,2227770000000000000,2227779999999999999
VTB Bank (Public Joint-Stock Company),vtb,2229690000000000000,2229690199999999999,2229690000000000000,2229699999999999999
Israel Credit Cards Ltd.,israel_credit_cards_limited,5100460000000000000,5100469999999999999,5100460000000000000,5100469999999999999
Joint Stock Company Russian Standard Bank,rsb,5100470000000000000,5100479999999999999,5100470000000000000,5100479999999999999
MAX IT Finance LTD,max_it_finance_ltd,5100490000000000000,5100499999999999999,5100490000000000000,5100499999999999999
AO Raiffeisenbank,raiffeisen,5100690000000000000,5100699999999999999,5100690000000000000,5100699999999999999
AO Raiffeisenbank,raiffeisen,5100700000000000000,5100704999999999999,5100700000000000000,5100709999999999999
AO Raiffeisenbank,raiffeisen,5100700000000000000,5100704999999999999,5100700000000000000,5100704999999999999
AO Raiffeisenbank,raiffeisen,5100705000000000000,5100705999999999999,5100705000000000000,5100705999999999999
AO Raiffeisenbank,raiffeisen,5100706000000000000,5100709999999999999,5100706000000000000,5100709999999999999
Unicredit Bank,unicredit,5100740000000000000,5100749999999999999,5100740000000000000,5100749999999999999
Joint Stock Company Russian Standard Bank,rsb,5100920000000000000,5100929999999999999,5100920000000000000,5100929999999999999
Credit Union Payment Center (Limited Liability Company),expobank,5101000000000000000,5101009999999999999,5101000000000000000,5101009999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5101020000000000000,5101029999999999999,5101020000000000000,5101029999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5101120000000000000,5101129999999999999,5101120000000000000,5101129999999999999
Joint Stock Company ALFA-BANK,alfa,5101260000000000000,5101269999999999999,5101260000000000000,5101269999999999999
Joint-Stock Halyk Savings Bank of Kazakhstan,joint_stock_bank_kazkommertsbank,5101450000000000000,5101459999999999999,5101450000000000000,5101459999999999999
PJSC ROSBANK,rosbank,5101660000000000000,5101669999999999999,5101660000000000000,5101669999999999999
VTB Bank (Public Joint-Stock Company),vtb,5101770000000000000,5101779999999999999,5101770000000000000,5101779999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5101960000000000000,5101969999999999999,5101960000000000000,5101969999999999999
Ural Bank for Reconstruction and Development,ubrir,5102290000000000000,5102294525999999999,5102290000000000000,5102299999999999999
Ural Bank for Reconstruction and Development,ubrir,5102300000000000000,5102308999999999999,5102300000000000000,5102308999999999999
Ural Bank for Reconstruction and Development,ubrir,5102309000000000000,5102309099999999999,5102309000000000000,5102309099999999999
Ural Bank for Reconstruction and Development,ubrir,5102309100000000000,5102309999999999999,5102309100000000000,5102309999999999999
Joint Stock Company Bank CenterCredit,bank_center_credit,5104450000000000000,5104454999999999999,5104450000000000000,5104454999999999999
Joint Stock Company Bank CenterCredit,bank_center_credit,5104455000000000000,5104459999999999999,5104455000000000000,5104459999999999999
"YooMoney, NBCO LLC",yoomoney,5106210000000000000,5106219999999999999,5106210000000000000,5106219999999999999
VTB Bank (Armenia),vtb_arm,5108310000000000000,5108319999999999999,5108310000000000000,5108319999999999999
Bank Hapoalim B.M.,bank_hapoalim_b_m,5108590000000000000,5108599999999999999,5108590000000000000,5108599999999999999
JS CB of Support to Commerce and Business SKB-Bank,skb,5108990000000000000,5108999999999999999,5108990000000000000,5108999999999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,joint_stock_company_finam_investment_bank,5111920000000000000,5111929999999999999,5111920000000000000,5111929999999999999
Gazprombank (Joint Stock Company),gazprom,5112230000000000000,5112239999999999999,5112230000000000000,5112239999999999999
ISRAEL CREDIT CARDS LTD.,israel_credit_cards_limited,5113350000000000000,5113350099999999999,5113350000000000000,5113350099999999999
ISRAEL CREDIT CARDS LTD.,israel_credit_cards_limited,5113350100000000000,5113350199999999999,5113350100000000000,5113350199999999999
ISRAEL CREDIT CARDS LTD.,israel_credit_cards_limited,5113350200000000000,5113350299999999999,5113350200000000000,5113350299999999999
VTB Bank (Kazakhstan) Subsidiary Joint stock Company,vtb_kaz,5115740000000000000,5115749999999999999,5115740000000000000,5115749999999999999
PJSC ROSBANK,rosbank,5115760000000000000,5115769999999999999,5115760000000000000,5115769999999999999
PJSC Orient Finans,OrientFinans,5116620000000000000,5116629999999999999,5116620000000000000,5116629999999999999
VTB Bank (Public Joint-Stock Company),vtb,5117020000000000000,5117020029999999999,5117020000000000000,5117020029999999999
VTB Bank (Public Joint-Stock Company),vtb,5117020030000000000,5117029999999999999,5117020030000000000,5117029999999999999
Armenian Card CJSC,armswissbank_closed_joint_stock_company,5117380000000000000,5117389999999999999,5117380000000000000,5117389999999999999
Bank Hapoalim B.M.,bank_hapoalim_b_m,5118910000000000000,5118913999999999999,5118910000000000000,5118913999999999999
Bank Hapoalim B.M.,bank_hapoalim_b_m,5118914000000000000,5118917999999999999,5118914000000000000,5118917999999999999
Bank Hapoalim B.M.,bank_hapoalim_b_m,5118918000000000000,5118919999999999999,5118918000000000000,5118919999999999999
Isracard Ltd.,europay_eurocard_israel_ltd,5120200000000000000,5120205739999999999,5120200000000000000,5120205739999999999
Isracard Ltd.,europay_eurocard_israel_ltd,5120205740000000000,5120205749999999999,5120205740000000000,5120205749999999999
Isracard Ltd.,europay_eurocard_israel_ltd,5120205750000000000,5120206739999999999,5120205750000000000,5120206739999999999
Isracard Ltd.,europay_eurocard_israel_ltd,5120206740000000000,5120206749999999999,5120206740000000000,5120206749999999999
Isracard Ltd.,europay_eurocard_israel_ltd,5120206750000000000,5120207739999999999,5120206750000000000,5120207739999999999
Isracard Ltd.,europay_eurocard_israel_ltd,5120207740000000000,5120207749999999999,5120207740000000000,5120207749999999999
Isracard Ltd.,europay_eurocard_israel_ltd,5120207750000000000,5120208739999999999,5120207750000000000,5120208739999999999
ISRACARD LTD.,europay_eurocard_israel_ltd,5120208740000000000,5120208749999999999,5120208740000000000,5120208749999999999
Isracard Ltd.,europay_eurocard_israel_ltd,5120208750000000000,5120209999999999999,5120208750000000000,5120209999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5120360000000000000,5120369999999999999,5120360000000000000,5120369999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5120540000000000000,5120549999999999999,5120540000000000000,5120549999999999999
First Heartland Jusan Bank Joint Stock Company,jsc_atfbank,5120950000000000000,5120954187999999999,5120950000000000000,5120954187999999999
First Heartland Jusan Bank Joint Stock Company,jsc_atfbank,5120954188000000000,5120954188999999999,5120954188000000000,5120954188999999999
First Heartland Jusan Bank Joint Stock Company,jsc_atfbank,5120954189000000000,5120959999999999999,5120954189000000000,5120959999999999999
Credit Europe Bank Ltd,credit_europe_bank_ltd,5122730000000000000,5122730499999999999,5122730000000000000,5122730499999999999
Credit Europe Bank Ltd,credit_europe_bank_ltd,5122730500000000000,5122730519999999999,5122730500000000000,5122730519999999999
Credit Europe Bank Ltd,credit_europe_bank_ltd,5122730520000000000,5122739999999999999,5122730520000000000,5122739999999999999
Public Joint Stock Company Bank Uralsib,uralsib,5122980000000000000,5122989999999999999,5122980000000000000,5122989999999999999
VTB Bank (Public Joint-Stock Company),smp,5123030000000000000,5123039999999999999,5123030000000000000,5123039999999999999
VTB Bank (Public Joint-Stock Company),vtb,5123380000000000000,5123389999999999999,5123380000000000000,5123389999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5123420000000000000,5123429999999999999,5123420000000000000,5123429999999999999
VTB Bank (Kazakhstan) Subsidiary Joint stock Company,vtb_kaz,5123560000000000000,5123569999999999999,5123560000000000000,5123569999999999999
VTB Bank (Public Joint-Stock Company),vtb,5123780000000000000,5123789999999999999,5123780000000000000,5123789999999999999
VTB Bank (Public Joint-Stock Company),vtb,5124500000000000000,5124509999999999999,5124500000000000000,5124509999999999999
Joint Stock Commercial Bank AK Bars,ak_bars,5124630000000000000,5124639999999999999,5124630000000000000,5124639999999999999
Public Joint-Stock Company Rosgosstrakh Bank,rgs_bank,5124780000000000000,5124789999999999999,5124780000000000000,5124789999999999999
Joint Stock Savings Bank Belarusbank,belarusbank,5125580000000000000,5125589999999999999,5125580000000000000,5125589999999999999
JSC Eurasian BANK,jsc_eurasian_bank,5126660000000000000,5126660099999999999,5126660000000000000,5126669999999999999
Belgazprombank,belgazprombank,5127220000000000000,5127228999999999999,5127220000000000000,5127228999999999999
Belgazprombank,belgazprombank,5127229000000000000,5127229999999999999,5127229000000000000,5127229999999999999
PJSC ROSBANK,rosbank,5127560000000000000,5127569999999999999,5127560000000000000,5127569999999999999
Joint Stock Company Commercial Bank Citibank,citibank,5127620000000000000,5127620999999999999,5127620000000000000,5127620999999999999
Joint Stock Company Commercial Bank Citibank,citibank,5127621000000000000,5127621999999999999,5127621000000000000,5127621999999999999
