MC_name,Bin_code,MC_low,MC_high,Bin_low,Bin_high
VTB Bank (Public Joint-Stock Company),vtb,2229690000000000000,2229690199999999999,2229690000000000000,2229699999999999999
AO Raiffeisenbank,raiffeisen,5100700000000000000,5100704999999999999,5100700000000000000,5100709999999999999
Ural Bank for Reconstruction and Development,ubrir,5102290000000000000,5102294525999999999,5102290000000000000,5102299999999999999
JSC Eurasian BANK,jsc_eurasian_bank,5126660000000000000,5126660099999999999,5126660000000000000,5126669999999999999
BANCO SANTANDER (BRASIL) S.A.,tinkoff,5154590000000000000,5154590099999999999,5154590000000000000,5154599999999999999
SBERBANK OF RUSSIA,sber,5155489100000000000,5155489199999999999,5155489100000000000,5155489299999999999
AO Raiffeisenbank,raiffeisen,5158760000000000000,5158763999999999999,5158760000000000000,5158769999999999999
Belvnesheconombank,belvnesheconom,5160520000000000000,5160521002999999999,5160521002500000000,5160521004499999999
Belvnesheconombank,belvnesheconom,5160521002000000000,5160521004999999999,5160521004500000000,5160521006499999999
Belvnesheconombank,belvnesheconom,5160521004000000000,5160521006999999999,5160521006500000000,5160529999999999999
NU PAGAMENTOS SA,tinkoff,5163620000000000000,5163620099999999999,5163620000000000000,5163629999999999999
Armbusinessbank Closed Joint Stock Company,armbusinessbank_cjsc,5175960000000000000,5175960099999999999,5175960000000000000,5175969999999999999
Tinkoff Bank,tinkoff,5189010000000000000,5189011420999999999,5189010000000000000,5189019999999999999
Tinkoff Bank,tinkoff,5189010000000000000,5189011420999999999,5189011420500000000,5189011430499999999
Tinkoff Bank,tinkoff,5189011420000000000,5189011430999999999,5189011430500000000,5189018630499999999
Tinkoff Bank,tinkoff,5189011430000000000,5189018630999999999,5189018630500000000,5189018640499999999
Tinkoff Bank,tinkoff,5189018630000000000,5189018640999999999,5189018640500000000,5189019999999999999
Joint Stock Company Belagroprombank,belagroprom,5201950000000000000,5201950040999999999,5201950040100000000,5201950400999999999
Joint Stock Company Belagroprombank,belagroprom,5201950410000000000,5201950410999999999,5201950410300000000,5201959999999999999
SBERBANK OF RUSSIA,sber,5206330700000000000,5206330799999999999,5206330700000000000,5206331099999999999
Tinkoff Bank,tinkoff,5213240000000000000,5213247779999999999,5213240000000000000,5213249999999999999
"FIFTH THIRD BANK, THE",tinkoff,5214080000000000000,5214080099999999999,5214080000000000000,5214089999999999999
Pai Pay Finance LTD,,5215880000000000000,5215880099999999999,5215880000000000000,5215882999999999999
Pai Pay Finance LTD,,5215883000000000000,5215883099999999999,5215883000000000000,5215885999999999999
Pai Pay Finance LTD,,5215886000000000000,5215886099999999999,5215886000000000000,5215888999999999999
Pai Pay Finance LTD,,5215889000000000000,5215889099999999999,5215889000000000000,5215889999999999999
Gazprombank (Joint Stock Company),gazprom,5257800000000000000,5257800000999999999,5257800000200000000,5257809999999999999
SMARTBANK,tinkoff,5262550000000000000,5262550099999999999,5262550000000000000,5262559999999999999
Belgazprombank,belgazprombank,5265520000000000000,5265520002999999999,5265520000000000000,5265520009999999999
Bank Freedom Finance Kazakhstan Joint Stock Company,bank_kassa_nova_jsc,5269880000000000000,5269880000999999999,5269880000000000000,5269889999999999999
Joint-Stock Company MTBank,minsk_transit,5277820100000000000,5277820199999999999,5277820100000000000,5277829999999999999
Tinkoff Bank,tinkoff,5280410000000000000,5280410029999999999,5280410000000000000,5280419999999999999
Armbusinessbank Closed Joint Stock Company,armbusinessbank_cjsc,5285500000000000000,5285500099999999999,5285500000000000000,5285509999999999999
PJSC MTS Bank,mts_bank,5317337588000000000,5317337588999999999,5317337588300000000,5317339999999999999
Armbusinessbank Closed Joint Stock Company,armbusinessbank_cjsc,5319440000000000000,5319440099999999999,5319440000000000000,5319449999999999999
Joint-Stock Company Russian Regional Development Bank (RRDB),vbrr,5323560000000000000,5323560299999999999,5323560000000000000,5323569999999999999
JSC Altyn Bank,altyn_bank,5324560000000000000,5324563499999999999,5324560000000000000,5324569999999999999
Joint-Stock Halyk Savings Bank of Kazakhstan,joint_stock_bank_kazkommertsbank,5354510000000000000,5354510199999999999,5354510000000000000,5354519999999999999
Joint-Stock Halyk Savings Bank of Kazakhstan,joint_stock_bank_kazkommertsbank,5376010000000000000,5376010001999999999,5376010001500000000,5376010002499999999
Tinkoff Bank,tinkoff,5389940000000000000,5389940029999999999,5389940000000000000,5389949999999999999
Bank Leumi Le-Israel BM,bank_leumi_le_israel_bm,5392130000000000000,5392133999999999999,5392130000000000000,5392139999999999999
Bank Freedom Finance Kazakhstan Joint Stock Company,bank_kassa_nova_jsc,5396740000000000000,5396740000999999999,5396740000000000000,5396749999999999999
PJSC MTS Bank,mts_bank,5406160000000000000,5406160805999999999,5406160805800000000,5406160806799999999
PJSC MTS Bank,mts_bank,5406160805000000000,5406160806999999999,5406160806800000000,5406168005799999999
PJSC MTS Bank,mts_bank,5406160806000000000,5406168005999999999,5406168005800000000,5406168006799999999
PJSC MTS Bank,mts_bank,5406168005000000000,5406168006999999999,5406168006800000000,5406169999999999999
DEUTSCHER SPARKASSEN UND GIROVERBAND,tinkoff,5409590000000000000,5409590099999999999,5409590000000000000,5409599999999999999
ORANGE BANK,tinkoff,5425770000000000000,5425770099999999999,5425770000000000000,5425779999999999999
SBERBANK OF RUSSIA,sber,5425774700000000000,5425774799999999999,5425774700000000000,5425774899999999999
Joint-Stock Company Russian Regional Development Bank (RRDB),vbrr,5427510000000000000,5427510299999999999,5427510000000000000,5427519999999999999
SBERBANK OF RUSSIA,sber,5443315400000000000,5443315499999999999,5443315400000000000,5443315599999999999
SBERBANK OF RUSSIA,sber,5443316400000000000,5443316499999999999,5443316400000000000,5443316599999999999
AHLI UNITED BANK B.S.C.,tinkoff,5445680000000000000,5445680099999999999,5445680000000000000,5445689999999999999
Sberbank of Russia,sber,5451520050000000000,5451521999999999999,5451520050000000000,5451529999999999999
URAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,tinkoff,5456200000000000000,5456200099999999999,5456200000000000000,5456209999999999999
SBERBANK OF RUSSIA,tinkoff,5458400000000000000,5458400099999999999,5458400000000000000,5458409999999999999
SBERBANK OF RUSSIA,sber,5458409400000000000,5458409499999999999,5458409400000000000,5458409699999999999
"PUBLIC JOINT-STOCK COMPANY ""BANK OTKRITIE FINANCIAL CORPORATION""",tinkoff,5460310000000000000,5460310099999999999,5460310000000000000,5460319999999999999
SBERBANK OF RUSSIA,sber,5460314300000000000,5460314399999999999,5460314300000000000,5460314499999999999
SBERBANK OF RUSSIA,sber,5460315800000000000,5460315899999999999,5460315800000000000,5460315999999999999
CREDIMAX BSC (CLOSED),tinkoff,5471830000000000000,5471830099999999999,5471830000000000000,5471839999999999999
Joint Stock Company Russian Standard Bank,rsb,5472620000000000000,5472622999999999999,5472620000000000000,5472629999999999999
Unicredit Bank,unicredit,5477280000000000000,5477280034999999999,5477280034200000000,5477289999999999999
JSC ForteBank,jsc_fortebank,5477520000000000000,5477520009999999999,5477520000000000000,5477529999999999999
Sberbank of Russia,sber,5479270000000000000,5479278999999999999,5479270000000000000,5479279999999999999
Tinkoff Bank,tinkoff,5483870000000000000,5483870029999999999,5483870000000000000,5483879999999999999
"JOINT STOCK COMPANY ""ALFA-BANK""",tinkoff,5485080000000000000,5485080099999999999,5485080000000000000,5485089999999999999
Priorbank Joint-Stock Company,priorbank_jscb,5489520000000000000,5489520152999999999,5489520152200000000,5489520249999999999
"JOINT STOCK COMPANY ""ALFA-BANK""",tinkoff,5502830000000000000,5502830099999999999,5502830000000000000,5502839999999999999
Bank Freedom Finance Kazakhstan Joint Stock Company,bank_kassa_nova_jsc,5504910000000000000,5504910000999999999,5504910000000000000,5504919999999999999
Tinkoff Bank,tinkoff,5519600000000000000,5519600029999999999,5519600000000000000,5519609999999999999
SBERBANK OF RUSSIA,sber,5530264700000000000,5530264799999999999,5530264700000000000,5530264899999999999
Tinkoff Bank,tinkoff,5536910000000000000,5536910029999999999,5536910000000000000,5536919999999999999
Bank Zenit,bank_zenit,5570300000000000000,5570309325999999999,5570309325500000000,5570309355499999999
PJSC ROSBANK,tinkoff,5570730000000000000,5570730099999999999,5570730000000000000,5570739999999999999
Armbusinessbank Closed Joint Stock Company,armbusinessbank_cjsc,5583620000000000000,5583620099999999999,5583620000000000000,5583629999999999999
VTB Bank (Public Joint-Stock Company),vtb,5584470000000000000,5584479998999999999,5584470000000000000,5584479999999999999
VTB Bank (Public Joint-Stock Company),vtb,5585180000000000000,5585189998999999999,5585180000000000000,5585189999999999999
Belgazprombank,belgazprombank,5592680000000000000,5592680049999999999,5592680000000000000,5592680099999999999
BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),tinkoff,5599010000000000000,5599010099999999999,5599010000000000000,5599019999999999999
Belarussian Bank of Development and Reconstruction Belinvestbank JSC,belinvest,6711270000000000000,6711270039999999999,6711270000000000000,6711279999999999999
Joint Stock Savings Bank Belarusbank,belarusbank,6711290000000000000,6711290529999999999,6711290000000000000,6711299999999999999
Joint Stock Savings Bank Belarusbank,reshenie,6711970000000000000,6711977599999999999,6711970000000000000,6711979999999999999
Joint Stock Savings Bank Belarusbank,belarusbank,6763390000000000000,6763390999999999999,6763390000000000000,6763399999999999999
