MC_name,Bin_code,MC_low,MC_high,Bin_low,Bin_high
VTB Bank (Public Joint-Stock Company),vtb,2229695450000000000,2229699999999999999,2229690000000000000,2229699999999999999
AO Raiffeisenbank,raiffeisen,5100706000000000000,5100709999999999999,5100700000000000000,5100709999999999999
Ural Bank for Reconstruction and Development,ubrir,5102294528000000000,5102299999999999999,5102290000000000000,5102299999999999999
"JOINT STOCK COMPANY ""ASAKABANK""",tinkoff,5155489900000000000,5155489999999999999,5155480000000000000,5155489999999999999
SBERBANK OF RUSSIA,sber,5155489200000000000,5155489299999999999,5155489100000000000,5155489299999999999
AO Raiffeisenbank,raiffeisen,5158766020000000000,5158769999999999999,5158760000000000000,5158769999999999999
DEUTSCHER SPARKASSEN UND GIROVERBAND,tinkoff,5163629900000000000,5163629999999999999,5163620000000000000,5163629999999999999
Tinkoff Bank,tinkoff,5189018640000000000,5189019999999999999,5189010000000000000,5189019999999999999
Joint Stock Company Belagroprombank,belagroprom,5201950410000000000,5201950410999999999,5201950401000000000,5201950410099999999
SBERBANK OF RUSSIA,sber,5206331000000000000,5206331099999999999,5206330700000000000,5206331099999999999
Tinkoff Bank,tinkoff,5213247790000000000,5213249999999999999,5213240000000000000,5213249999999999999
SHARJAH ISLAMIC BANK PJSC,tinkoff,5214019900000000000,5214019999999999999,5214010000000000000,5214019999999999999
TINKOFF BANK,tinkoff,5214089900000000000,5214089999999999999,5214080000000000000,5214089999999999999
CANARA BANK,tinkoff,5214369900000000000,5214369999999999999,5214360000000000000,5214369999999999999
FINSTELLA LTD,tinkoff,5254659900000000000,5254659999999999999,5254650000000000000,5254659999999999999
DEUTSCHER SPARKASSEN UND GIROVERBAND,tinkoff,5262559900000000000,5262559999999999999,5262550000000000000,5262559999999999999
Belgazprombank,belgazprombank,5265520007000000000,5265520009999999999,5265520000000000000,5265520009999999999
Bank Freedom Finance Kazakhstan Joint Stock Company,bank_kassa_nova_jsc,5269880001000000000,5269889999999999999,5269880000000000000,5269889999999999999
Public Joint-Stock Company Norvik Bank,norvik_bank,5276660300000000000,5276669999999999999,5276660260000000000,5276660300399999999
Joint-Stock Company MTBank,minsk_transit,5277820300000000000,5277829999999999999,5277820100000000000,5277829999999999999
Tinkoff Bank,tinkoff,5280417760000000000,5280419999999999999,5280410000000000000,5280419999999999999
PJSC MTS Bank,mts_bank,5317337588000000000,5317337588999999999,5317330000000000000,5317337588199999999
Joint-Stock Company Russian Regional Development Bank (RRDB),vbrr,5323560320000000000,5323569999999999999,5323560000000000000,5323569999999999999
JSC Altyn Bank,altyn_bank,5324563600000000000,5324569999999999999,5324560000000000000,5324569999999999999
JSC Altyn Bank,altyn_bank,5351889999000000000,5351889999999999999,5351880000000000000,5351889999999999999
Joint-Stock Halyk Savings Bank of Kazakhstan,joint_stock_bank_kazkommertsbank,5354515000000000000,5354519999999999999,5354510000000000000,5354519999999999999
Joint-Stock Halyk Savings Bank of Kazakhstan,joint_stock_bank_kazkommertsbank,5376010002000000000,5376019999999999999,5376010001500000000,5376010002499999999
Tinkoff Bank,tinkoff,5389947760000000000,5389949999999999999,5389940000000000000,5389949999999999999
Bank Leumi Le-Israel BM,bank_leumi_le_israel_bm,5392138000000000000,5392139999999999999,5392130000000000000,5392139999999999999
Bank Freedom Finance Kazakhstan Joint Stock Company,bank_kassa_nova_jsc,5396740001000000000,5396749999999999999,5396740000000000000,5396749999999999999
"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB""",tinkoff,5409599900000000000,5409599999999999999,5409590000000000000,5409599999999999999
"JOINT STOCK COMPANY ""ALFA-BANK""",tinkoff,5425779900000000000,5425779999999999999,5425770000000000000,5425779999999999999
SBERBANK OF RUSSIA,sber,5425774800000000000,5425774899999999999,5425774700000000000,5425774899999999999
Joint-Stock Company Russian Regional Development Bank (RRDB),vbrr,5427510401000000000,5427519999999999999,5427510000000000000,5427519999999999999
Credit Bank of Moscow,mkb,5432110005000000000,5432110006999999999,5432110000000000000,5432110005699999999
Credit Bank of Moscow,mkb,5432110006000000000,5432119999999999999,5432110005700000000,5432110006799999999
CREDIT EUROPE BANK LTD,tinkoff,5443319900000000000,5443319999999999999,5443310000000000000,5443319999999999999
SBERBANK OF RUSSIA,sber,5443315500000000000,5443315599999999999,5443315400000000000,5443315599999999999
SBERBANK OF RUSSIA,sber,5443316500000000000,5443316599999999999,5443316400000000000,5443316599999999999
HUNTINGTON NATIONAL BANK,tinkoff,5447149900000000000,5447149999999999999,5447140000000000000,5447149999999999999
Sberbank of Russia,sber,5451522000000000000,5451529999999999999,5451520050000000000,5451529999999999999
BNP PARIBAS PERSONAL FINANCE,tinkoff,5454529900000000000,5454529999999999999,5454520000000000000,5454529999999999999
"UNIVERSO, IME, SA",tinkoff,5458409900000000000,5458409999999999999,5458400000000000000,5458409999999999999
SBERBANK OF RUSSIA,sber,5458409600000000000,5458409699999999999,5458409400000000000,5458409699999999999
SBERBANK OF RUSSIA,tinkoff,5460319900000000000,5460319999999999999,5460310000000000000,5460319999999999999
SBERBANK OF RUSSIA,sber,5460314400000000000,5460314499999999999,5460314300000000000,5460314499999999999
SBERBANK OF RUSSIA,sber,5460315900000000000,5460315999999999999,5460315800000000000,5460315999999999999
YAPI VE KREDI BANKASI A.S.,tinkoff,5460399900000000000,5460399999999999999,5460390000000000000,5460399999999999999
TINKOFF BANK,tinkoff,5471279900000000000,5471279999999999999,5471270000000000000,5471279999999999999
AXIS BANK LIMITED,tinkoff,5471839900000000000,5471839999999999999,5471830000000000000,5471839999999999999
Joint Stock Company Russian Standard Bank,rsb,5472623000000000000,5472629999999999999,5472620000000000000,5472629999999999999
JSC Altyn Bank,altyn_bank,5474149999000000000,5474149999999999999,5474140000000000000,5474149999999999999
JSC ForteBank,jsc_fortebank,5477520050000000000,5477529999999999999,5477520000000000000,5477529999999999999
Subsidiary Bank Sberbank of Russia Joint Stock Company,sberbank_kz,5478440007000000000,5478449999999999999,5478440000000000000,5478449999999999999
Sberbank of Russia,sber,5479279000000000000,5479279999999999999,5479270000000000000,5479279999999999999
Tinkoff Bank,tinkoff,5483877760000000000,5483879999999999999,5483870000000000000,5483879999999999999
BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),tinkoff,5485089900000000000,5485089999999999999,5485080000000000000,5485089999999999999
TINKOFF BANK,tinkoff,5502839900000000000,5502839999999999999,5502830000000000000,5502839999999999999
Bank Freedom Finance Kazakhstan Joint Stock Company,bank_kassa_nova_jsc,5504910001000000000,5504919999999999999,5504910000000000000,5504919999999999999
Tinkoff Bank,tinkoff,5519607760000000000,5519609999999999999,5519600000000000000,5519609999999999999
SBERBANK OF RUSSIA,sber,5530264800000000000,5530264899999999999,5530264700000000000,5530264899999999999
Tinkoff Bank,tinkoff,5536917760000000000,5536919999999999999,5536910000000000000,5536919999999999999
Bank Zenit,bank_zenit,5570309355000000000,5570309998999999999,5570309325500000000,5570309355499999999
Bank Zenit,bank_zenit,5570309998000000000,5570309999999999999,5570309355500000000,5570309998499999999
HSBC Bank Armenia cjsc,hsbc_bank_armenia_cjsc,5571159999000000000,5571159999999999999,5571150000000000000,5571159999899999999
VTB Bank (Public Joint-Stock Company),vtb,5584479999000000000,5584479999999999999,5584470000000000000,5584479999999999999
VTB Bank (Public Joint-Stock Company),vtb,5585189999000000000,5585189999999999999,5585180000000000000,5585189999999999999
Belgazprombank,belgazprombank,5592680090000000000,5592680099999999999,5592680000000000000,5592680099999999999
Belarussian Bank of Development and Reconstruction Belinvestbank JSC,belinvest,6711270520000000000,6711279999999999999,6711270000000000000,6711279999999999999
Joint Stock Savings Bank Belarusbank,belarusbank,6711290530000000000,6711299999999999999,6711290000000000000,6711299999999999999
Joint Stock Savings Bank Belarusbank,reshenie,6711977700000000000,6711979999999999999,6711970000000000000,6711979999999999999
Joint Stock Savings Bank Belarusbank,belarusbank,6763391000000000000,6763399999999999999,6763390000000000000,6763399999999999999
