fpsMembers/bankName,fpsMembers/bankNameRu,fpsMembers/bankId,fpsMembers/bic,fpsMembers/scenarios/0/name,fpsMembers/scenarios/0/roles/0,fpsMembers/scenarios/0/roles/1,fpsMembers/scenarios/1/name,fpsMembers/scenarios/1/roles/0,fpsMembers/scenarios/1/roles/1,fpsMembers/scenarios/2/name,fpsMembers/scenarios/2/roles/0,fpsMembers/scenarios/3/name,fpsMembers/scenarios/3/roles/0,fpsMembers/scenarios/3/roles/1,fpsMembers/scenarios/4/name,fpsMembers/scenarios/4/roles/0,fpsMembers/scenarios/4/roles/1,fpsMembers/scenarios/5/name,fpsMembers/scenarios/5/roles/0,fpsMembers/scenarios/5/roles/1,fpsMembers/scenarios/6/name,fpsMembers/scenarios/6/roles/0,fpsMembers/scenarios/6/roles/1,fpsMembers/scenarios/7/name,fpsMembers/scenarios/7/roles/0,fpsMembers/scenarios/7/roles/1,fpsMembers/scenarios/8/name,fpsMembers/scenarios/8/roles/0,fpsMembers/scenarios/2/roles/1,fpsMembers/scenarios/8/roles/1,fpsMembers/scenarios/9/name,fpsMembers/scenarios/9/roles/0,fpsMembers/scenarios/9/roles/1,fpsMembers/scenarios/10/name,fpsMembers/scenarios/10/roles/0
Norvik Bank,Норвик Банк,100000000202,044525845,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
BANK KREMLYOVSKIY,Банк Кремлевский,100000000201,044525196,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
JSCB SLAVIA,АКБ СЛАВИЯ,100000000200,044525318,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Tomskpromstroybank,Томскпромстройбанк,100000000206,046902728,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Me2MePush,Receiver,,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,Sender,,,,,
Bank Zarechye,Банк Заречье,100000000205,049205772,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
American Express Bank,Америкэн Экспресс Банк,100000000204,044525717,C2BQRD,Receiver,,C2BQRS,Receiver,,C2BRfnd,Sender,,,,,,,,,,,,,,,,,,,,,,,,
INTERNATIONAL FINANCIAL CLUB,МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ,100000000203,044525632,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
SNB,Северный Народный Банк,100000000208,048702781,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Deutsche Bank,Дойче банк,100000000207,044525101,C2BQRD,Receiver,,C2BRfnd,Sender,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centr-invest,Центр-инвест,100000000059,046015762,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,C2CIntPush,Receiver,,,,,,,
